Iterazioni,Algoritmo,Taglio,CPU_Time
1,Random,463063,0.031278
1,Greedy,654191,0.446607
2,Random,463189,0.062079
2,Greedy,653367,1.03321
3,Random,463135,0.103584
3,Greedy,654031,1.35294
4,Random,463912,0.125894
4,Greedy,653838,1.85176
5,Random,463226,0.176731
5,Greedy,653588,2.28309
6,Random,463192,0.184386
6,Greedy,653944,2.59545
7,Random,463536,0.207913
7,Greedy,653934,3.10598
8,Random,463779,0.229972
8,Greedy,653941,3.47668
9,Random,463343,0.294922
9,Greedy,654024,3.74787
10,Random,463457,0.277339
10,Greedy,653580,3.40979
11,Random,463262,0.241255
11,Greedy,654050,3.34148
12,Random,463650,0.263855
12,Greedy,653914,3.73379
13,Random,463786,0.284954
13,Greedy,654059,4.12526
14,Random,463730,0.30567
14,Greedy,654475,4.35988
15,Random,463504,0.329017
15,Greedy,654315,4.54411
16,Random,463841,0.353901
16,Greedy,653953,5.17471
17,Random,463464,0.374006
17,Greedy,653944,5.57496
18,Random,464323,0.492715
18,Greedy,653981,7.24619
19,Random,463769,0.521475
19,Greedy,654152,6.67516
20,Random,464001,0.437113
20,Greedy,654164,6.55905
21,Random,463955,0.454511
21,Greedy,654103,6.40235
22,Random,463582,0.477323
22,Greedy,654074,6.47043
23,Random,464067,0.456313
23,Greedy,654206,6.86186
24,Random,463531,0.472957
24,Greedy,653991,7.01507
25,Random,463977,0.495272
25,Greedy,654574,7.41119
26,Random,463766,0.513023
26,Greedy,653893,7.35749
27,Random,464022,0.534426
27,Greedy,653993,7.82514
28,Random,464395,0.55823
28,Greedy,654499,8.04067
29,Random,463659,0.570218
29,Greedy,654022,8.50513
30,Random,464047,0.589935
30,Greedy,654217,8.9605
31,Random,463785,0.609811
31,Greedy,654091,8.98082
32,Random,464064,0.635997
32,Greedy,654231,9.31173
33,Random,463975,0.652518
33,Greedy,654468,9.34797
34,Random,463937,0.668322
34,Greedy,654063,9.7186
35,Random,463587,0.689615
35,Greedy,654071,10.0975
36,Random,463767,0.708785
36,Greedy,654015,10.1485
37,Random,463943,0.726897
37,Greedy,654408,10.5419
38,Random,463896,0.750391
38,Greedy,654125,11.3786
39,Random,463879,0.832996
39,Greedy,654091,11.0751
40,Random,463586,0.806239
40,Greedy,654118,11.4959
41,Random,463857,0.827374
41,Greedy,654402,11.9738
42,Random,463553,0.864498
42,Greedy,654263,12.3818
43,Random,464041,0.87281
43,Greedy,654289,12.9624
44,Random,463789,0.889993
44,Greedy,654350,12.7837
45,Random,463872,0.935383
45,Greedy,653982,13.2972
46,Random,463878,0.965982
46,Greedy,654513,14.9676
47,Random,463793,1.01029
47,Greedy,654328,14.8129
48,Random,464160,1.31295
48,Greedy,654205,14.9025
49,Random,463794,1.0674
49,Greedy,654228,14.7714
