Iterazioni,Algoritmo,Taglio,CPU_Time
1,Random,462265,0.024895
1,Greedy,653698,0.303157
2,Random,462964,0.045743
2,Greedy,654147,0.638662
4,Random,463561,0.083923
4,Greedy,654080,1.41919
8,Random,463499,0.181966
8,Greedy,654252,2.72558
16,Random,463728,0.317489
16,Greedy,653972,4.86839
32,Random,464060,0.626293
32,Greedy,654484,9.19373
64,Random,464060,1.30443
64,Greedy,654156,20.5169
128,Random,463962,2.52279
128,Greedy,654362,38.5244
256,Random,465032,5.11308
256,Greedy,654909,77.8451
512,Random,464590,11.8962
512,Greedy,654536,159.536
1024,Random,464373,20.3093
1024,Greedy,654535,317.581
