=== Avvio Esperimento Max-Cut sui Dataset ===
Inizio testing iterativo su amazon...

Iter: 1 | Taglio Greedy: 654191 | T_Greedy: 0.446607 s | Pazienza: 5
Iter: 2 | Taglio Greedy: 653367 | T_Greedy: 1.03321 s | Pazienza: 5
Iter: 3 | Taglio Greedy: 654031 | T_Greedy: 1.35294 s | Pazienza: 4
Iter: 4 | Taglio Greedy: 653838 | T_Greedy: 1.85176 s | Pazienza: 3
Iter: 5 | Taglio Greedy: 653588 | T_Greedy: 2.28309 s | Pazienza: 2
Iter: 6 | Taglio Greedy: 653944 | T_Greedy: 2.59545 s | Pazienza: 1
Iter: 7 | Taglio Greedy: 653934 | T_Greedy: 3.10598 s | Pazienza: 0
Iter: 8 | Taglio Greedy: 653941 | T_Greedy: 3.47668 s | Pazienza: -1
Iter: 9 | Taglio Greedy: 654024 | T_Greedy: 3.74787 s | Pazienza: -2
Iter: 10 | Taglio Greedy: 653580 | T_Greedy: 3.40979 s | Pazienza: -3
Iter: 11 | Taglio Greedy: 654050 | T_Greedy: 3.34148 s | Pazienza: -4
Iter: 12 | Taglio Greedy: 653914 | T_Greedy: 3.73379 s | Pazienza: -5
Iter: 13 | Taglio Greedy: 654059 | T_Greedy: 4.12526 s | Pazienza: -6
Iter: 14 | Taglio Greedy: 654475 | T_Greedy: 4.35988 s | Pazienza: -7
Iter: 15 | Taglio Greedy: 654315 | T_Greedy: 4.54411 s | Pazienza: 5
Iter: 16 | Taglio Greedy: 653953 | T_Greedy: 5.17471 s | Pazienza: 4
Iter: 17 | Taglio Greedy: 653944 | T_Greedy: 5.57496 s | Pazienza: 3
Iter: 18 | Taglio Greedy: 653981 | T_Greedy: 7.24619 s | Pazienza: 2
Iter: 19 | Taglio Greedy: 654152 | T_Greedy: 6.67516 s | Pazienza: 1
Iter: 20 | Taglio Greedy: 654164 | T_Greedy: 6.55905 s | Pazienza: 0
Iter: 21 | Taglio Greedy: 654103 | T_Greedy: 6.40235 s | Pazienza: -1
Iter: 22 | Taglio Greedy: 654074 | T_Greedy: 6.47043 s | Pazienza: -2
Iter: 23 | Taglio Greedy: 654206 | T_Greedy: 6.86186 s | Pazienza: -3
Iter: 24 | Taglio Greedy: 653991 | T_Greedy: 7.01507 s | Pazienza: -4
Iter: 25 | Taglio Greedy: 654574 | T_Greedy: 7.41119 s | Pazienza: -5
Iter: 26 | Taglio Greedy: 653893 | T_Greedy: 7.35749 s | Pazienza: 5
Iter: 27 | Taglio Greedy: 653993 | T_Greedy: 7.82514 s | Pazienza: 4
Iter: 28 | Taglio Greedy: 654499 | T_Greedy: 8.04067 s | Pazienza: 3
Iter: 29 | Taglio Greedy: 654022 | T_Greedy: 8.50513 s | Pazienza: 2
Iter: 30 | Taglio Greedy: 654217 | T_Greedy: 8.9605 s | Pazienza: 1
Iter: 31 | Taglio Greedy: 654091 | T_Greedy: 8.98082 s | Pazienza: 0
Iter: 32 | Taglio Greedy: 654231 | T_Greedy: 9.31173 s | Pazienza: -1
Iter: 33 | Taglio Greedy: 654468 | T_Greedy: 9.34797 s | Pazienza: -2
Iter: 34 | Taglio Greedy: 654063 | T_Greedy: 9.7186 s | Pazienza: -3
Iter: 35 | Taglio Greedy: 654071 | T_Greedy: 10.0975 s | Pazienza: -4
Iter: 36 | Taglio Greedy: 654015 | T_Greedy: 10.1485 s | Pazienza: -5
Iter: 37 | Taglio Greedy: 654408 | T_Greedy: 10.5419 s | Pazienza: -6
Iter: 38 | Taglio Greedy: 654125 | T_Greedy: 11.3786 s | Pazienza: -7
Iter: 39 | Taglio Greedy: 654091 | T_Greedy: 11.0751 s | Pazienza: -8
Iter: 40 | Taglio Greedy: 654118 | T_Greedy: 11.4959 s | Pazienza: -9
Iter: 41 | Taglio Greedy: 654402 | T_Greedy: 11.9738 s | Pazienza: -10
Iter: 42 | Taglio Greedy: 654263 | T_Greedy: 12.3818 s | Pazienza: -11
Iter: 43 | Taglio Greedy: 654289 | T_Greedy: 12.9624 s | Pazienza: -12
Iter: 44 | Taglio Greedy: 654350 | T_Greedy: 12.7837 s | Pazienza: -13
Iter: 45 | Taglio Greedy: 653982 | T_Greedy: 13.2972 s | Pazienza: -14
Iter: 46 | Taglio Greedy: 654513 | T_Greedy: 14.9676 s | Pazienza: -15
Iter: 47 | Taglio Greedy: 654328 | T_Greedy: 14.8129 s | Pazienza: -16
Iter: 48 | Taglio Greedy: 654205 | T_Greedy: 14.9025 s | Pazienza: -17
Iter: 49 | Taglio Greedy: 654228 | T_Greedy: 14.7714 s | Pazienza: -18

Esperimento concluso! Dati salvati in: results/amazon.csv
