NodeID,Degree
0,336
1,342
2,256
3,221
4,218
5,191
6,365
7,116
8,287
9,265
10,73
11,161
12,105
13,175
14,76
15,166
16,173
17,131
18,126
19,142
20,146
21,120
22,173
23,92
24,111
25,195
26,72
27,107
28,109
29,63
30,62
31,94
32,47
33,71
34,111
35,104
36,123
37,106
38,43
39,42
40,98
41,41
42,29
43,81
44,92
45,41
46,52
47,52
48,57
49,71
50,60
51,77
52,105
53,77
54,18
55,113
56,52
57,72
58,61
59,52
60,83
61,60
62,40
63,58
64,52
65,70
66,57
67,34
68,112
69,49
70,88
71,57
72,60
73,74
74,36
75,15
76,63
77,70
78,41
79,49
80,52
81,63
82,27
83,78
84,16
85,12
86,43
87,99
88,88
89,27
90,47
91,29
92,32
93,31
94,35
95,69
96,76
97,86
98,28
99,43
100,24
101,37
102,35
103,38
104,34
105,64
106,45
107,28
108,56
109,90
110,44
111,25
112,118
113,85
114,29
115,66
116,81
117,35
118,34
119,57
120,63
121,44
122,12
123,45
124,25
125,34
126,51
127,57
128,28
129,46
130,54
131,38
132,45
133,64
134,28
135,95
136,46
137,35
138,18
139,56
140,51
141,65
142,19
143,44
144,55
145,27
146,48
147,46
148,44
149,78
150,79
151,26
152,35
153,42
154,63
155,60
156,38
157,65
158,40
159,89
160,27
161,48
162,31
163,36
164,61
165,47
166,58
167,38
168,26
169,25
170,46
171,40
172,46
173,37
174,62
175,37
176,28
177,22
178,57
179,37
180,56
181,30
182,28
183,48
184,40
185,23
186,48
187,24
188,33
189,38
190,20
191,34
192,48
193,55
194,22
195,42
196,31
197,28
198,35
199,29
200,26
201,18
202,53
203,51
204,27
205,25
206,22
207,74
208,37
209,21
210,59
211,42
212,26
213,48
214,39
215,32
216,41
217,32
218,21
219,37
220,31
221,57
222,49
223,17
224,33
225,68
226,26
227,27
228,31
229,29
230,38
231,43
232,51
233,39
234,54
235,47
236,26
237,23
238,25
239,26
240,22
241,41
242,38
243,43
244,15
245,39
246,46
247,54
248,27
249,23
250,28
251,31
252,42
253,40
254,25
255,33
256,20
257,30
258,52
259,32
260,27
261,24
262,37
263,36
264,28
265,29
266,23
267,43
268,47
269,28
270,29
271,33
272,46
273,32
274,16
275,40
276,33
277,13
278,41
279,66
280,22
281,16
282,41
283,30
284,41
285,23
286,10
287,19
288,65
289,42
290,9
291,27
292,33
293,32
294,41
295,20
296,12
297,57
298,25
299,20
300,21
301,39
302,35
303,34
304,28
305,25
306,36
307,34
308,18
309,33
310,68
311,12
312,24
313,26
314,32
315,43
316,8
317,51
318,11
319,39
320,21
321,60
322,22
323,7
324,20
325,38
326,37
327,35
328,12
329,21
330,18
331,23
332,15
333,19
334,20
335,34
336,31
337,12
338,27
339,13
340,18
341,30
342,44
343,38
344,31
345,24
346,27
347,44
348,38
349,24
350,24
351,30
352,28
353,14
354,29
355,24
356,41
357,39
358,31
359,19
360,32
361,28
362,15
363,23
364,21
365,29
366,23
367,21
368,19
369,17
370,15
371,39
372,20
373,25
374,32
375,27
376,29
377,16
378,25
379,50
380,28
381,16
382,24
383,10
384,26
385,36
386,43
387,35
388,26
389,18
390,24
391,53
392,16
393,39
394,23
395,27
396,21
397,16
398,33
399,16
400,42
401,19
402,20
403,51
404,17
405,10
406,17
407,43
408,17
409,22
410,37
411,26
412,17
413,23
414,32
415,17
416,41
417,15
418,14
419,15
420,17
421,21
422,18
423,33
424,30
425,33
426,22
427,44
428,15
429,47
430,34
431,18
432,40
433,28
434,22
435,24
436,38
437,12
438,36
439,15
440,15
441,35
442,19
443,17
444,22
445,23
446,22
447,27
448,26
449,22
450,16
451,40
452,37
453,34
454,21
455,39
456,18
457,31
458,23
459,14
460,14
461,10
462,19
463,24
464,31
465,24
466,40
467,39
468,26
469,28
470,15
471,29
472,12
473,42
474,11
475,36
476,24
477,15
478,17
479,9
480,22
481,20
482,8
483,39
484,14
485,12
486,32
487,29
488,22
489,18
490,22
491,24
492,16
493,20
494,12
495,21
496,28
497,22
498,22
499,30
500,35
501,31
502,23
503,28
504,17
505,11
506,10
507,12
508,10
509,26
510,48
511,13
512,25
513,25
514,24
515,18
516,28
517,16
518,28
519,27
520,15
521,7
522,25
523,43
524,21
525,14
526,34
527,17
528,22
529,19
530,24
531,24
532,39
533,12
534,20
535,25
536,21
537,16
538,17
539,43
540,16
541,21
542,25
543,16
544,37
545,33
546,29
547,23
548,19
549,26
550,15
551,18
552,16
553,15
554,11
555,19
556,31
557,20
558,14
559,21
560,25
561,26
562,18
563,35
564,6
565,17
566,12
567,42
568,7
569,26
570,40
571,18
572,12
573,23
574,37
575,25
576,10
577,16
578,28
579,29
580,10
581,20
582,15
583,30
584,20
585,26
586,26
587,26
588,22
589,25
590,13
591,12
592,37
593,27
594,14
595,30
596,13
597,30
598,15
599,15
600,21
601,21
602,11
603,21
604,25
605,11
606,23
607,27
608,15
609,11
610,24
611,24
612,23
613,16
614,15
615,18
616,15
617,16
618,18
619,16
620,24
621,13
622,24
623,18
624,26
625,26
626,11
627,28
628,29
629,15
630,14
631,28
632,28
633,16
634,20
635,33
636,18
637,32
638,30
639,10
640,20
641,21
642,19
643,35
644,18
645,14
646,15
647,21
648,9
649,13
650,8
651,26
652,15
653,16
654,33
655,29
656,29
657,12
658,37
659,11
660,15
661,9
662,9
663,16
664,11
665,27
666,13
667,21
668,18
669,11
670,10
671,19
672,20
673,19
674,18
675,25
676,21
677,31
678,17
679,22
680,21
681,10
682,15
683,33
684,31
685,34
686,15
687,9
688,16
689,12
690,26
691,39
692,15
693,15
694,27
695,10
696,16
697,18
698,21
699,22
700,15
701,12
702,21
703,18
704,16
705,18
706,9
707,21
708,12
709,9
710,22
711,16
712,23
713,30
714,16
715,22
716,7
717,15
718,24
719,18
720,17
721,18
722,17
723,19
724,29
725,24
726,15
727,15
728,15
729,28
730,27
731,22
732,23
733,24
734,16
735,12
736,21
737,17
738,13
739,26
740,11
741,19
742,23
743,22
744,15
745,10
746,6
747,16
748,12
749,14
750,20
751,15
752,25
753,20
754,23
755,5
756,19
757,13
758,11
759,15
760,18
761,17
762,20
763,27
764,17
765,14
766,18
767,14
768,20
769,18
770,16
771,23
772,16
773,25
774,25
775,17
776,17
777,21
778,13
779,12
780,23
781,16
782,16
783,17
784,17
785,31
786,16
787,8
788,23
789,14
790,21
791,21
792,12
793,16
794,16
795,13
796,20
797,20
798,21
799,21
800,9
801,21
802,8
803,15
804,11
805,13
806,16
807,18
808,34
809,12
810,35
811,22
812,15
813,14
814,29
815,24
816,7
817,29
818,11
819,13
820,17
821,25
822,8
823,14
824,14
825,14
826,13
827,10
828,21
829,8
830,12
831,17
832,21
833,17
834,18
835,17
836,15
837,10
838,13
839,19
840,12
841,17
842,14
843,14
844,20
845,14
846,36
847,19
848,9
849,14
850,26
851,11
852,22
853,15
854,11
855,12
856,26
857,10
858,16
859,18
860,17
861,25
862,8
863,25
864,11
865,30
866,16
867,13
868,23
869,13
870,12
871,12
872,25
873,17
874,14
875,12
876,19
877,8
878,14
879,8
880,22
881,20
882,17
883,16
884,20
885,23
886,17
