Iterazioni,Algoritmo,Taglio,CPU_Time
1,Random,44076,0.000401
1,Greedy,49699,0.012892
2,Random,44312,0.000571
2,Greedy,49828,0.02711
3,Random,44532,0.000695
3,Greedy,49899,0.03245
4,Random,44206,0.000924
4,Greedy,49699,0.044766
5,Random,44339,0.001152
5,Greedy,49730,0.062741
6,Random,44221,0.001381
6,Greedy,49740,0.068444
7,Random,44326,0.001633
7,Greedy,49751,0.078597
8,Random,44355,0.001831
8,Greedy,49823,0.086348
9,Random,44351,0.002168
9,Greedy,49765,0.118952
10,Random,44386,0.002357
10,Greedy,49744,0.123716
11,Random,44301,0.002585
11,Greedy,49791,0.123704
12,Random,44287,0.003452
12,Greedy,49789,0.1424
13,Random,44336,0.002988
13,Greedy,49896,0.166581
14,Random,44249,0.003377
14,Greedy,49745,0.171275
15,Random,44435,0.003564
15,Greedy,49763,0.198484
16,Random,44419,0.003727
16,Greedy,49798,0.20698
17,Random,44379,0.004035
17,Greedy,49821,0.206514
18,Random,44338,0.004209
18,Greedy,49780,0.20742
19,Random,44342,0.004225
19,Greedy,49907,0.218887
20,Random,44237,0.004672
20,Greedy,49778,0.237055
21,Random,44399,0.004671
21,Greedy,49808,0.251552
22,Random,44351,0.004933
22,Greedy,49889,0.259377
23,Random,44314,0.005139
23,Greedy,49802,0.255948
24,Random,44374,0.005352
24,Greedy,49868,0.281804
25,Random,44335,0.005655
25,Greedy,49813,0.298048
26,Random,44368,0.006041
26,Greedy,49884,0.305754
27,Random,44380,0.006101
27,Greedy,49824,0.322452
28,Random,44353,0.006284
28,Greedy,49890,0.316676
29,Random,44394,0.006963
29,Greedy,49816,0.342252
30,Random,44333,0.006691
30,Greedy,49817,0.366147
31,Random,44397,0.007172
31,Greedy,49812,0.373391
32,Random,44399,0.007543
32,Greedy,49827,0.36068
33,Random,44445,0.007635
33,Greedy,49841,0.396183
34,Random,44406,0.008021
34,Greedy,49805,0.418325
35,Random,44478,0.008502
35,Greedy,49854,0.466861
36,Random,44360,0.008387
36,Greedy,49843,0.465388
37,Random,44340,0.010442
37,Greedy,49849,0.498537
38,Random,44390,0.008554
38,Greedy,49849,0.446953
39,Random,44347,0.009069
39,Greedy,49895,0.465674
40,Random,44459,0.008945
40,Greedy,49842,0.517376
41,Random,44372,0.010277
41,Greedy,49843,0.555112
42,Random,44472,0.010239
42,Greedy,49857,0.498842
43,Random,44390,0.009778
43,Greedy,49850,0.510769
44,Random,44415,0.010043
44,Greedy,49882,0.518695
45,Random,44374,0.010052
45,Greedy,49893,0.513561
46,Random,44445,0.010324
46,Greedy,49796,0.562973
47,Random,44452,0.011043
47,Greedy,49854,0.708959
48,Random,44367,0.013571
48,Greedy,49854,0.703803
49,Random,44397,0.013217
49,Greedy,49846,0.613596
