Iterazioni,Algoritmo,Taglio,CPU_Time
1,Random,43935,0.000635
1,Greedy,49571,0.016395
2,Random,44211,0.000727
2,Greedy,49631,0.043612
4,Random,44287,0.001365
4,Greedy,49748,0.06715
8,Random,44243,0.002724
8,Greedy,49797,0.131908
16,Random,44414,0.005411
16,Greedy,49827,0.31036
32,Random,44485,0.011919
32,Greedy,49830,0.72464
64,Random,44506,0.024136
64,Greedy,49895,1.22734
128,Random,44475,0.042999
128,Greedy,49856,2.30494
256,Random,44433,0.095478
256,Greedy,49885,5.01001
512,Random,44555,0.214746
512,Greedy,49904,9.28665
1024,Random,44640,0.361477
1024,Greedy,49926,15.7673
