=== Avvio Esperimento Max-Cut sui Dataset ===
Inizio testing iterativo su facebook...

Iter: 1 | Taglio Greedy: 49699 | T_Greedy: 0.012892 s | Pazienza: 5
Iter: 2 | Taglio Greedy: 49828 | T_Greedy: 0.02711 s | Pazienza: 5
Iter: 3 | Taglio Greedy: 49899 | T_Greedy: 0.03245 s | Pazienza: 5
Iter: 4 | Taglio Greedy: 49699 | T_Greedy: 0.044766 s | Pazienza: 5
Iter: 5 | Taglio Greedy: 49730 | T_Greedy: 0.062741 s | Pazienza: 4
Iter: 6 | Taglio Greedy: 49740 | T_Greedy: 0.068444 s | Pazienza: 3
Iter: 7 | Taglio Greedy: 49751 | T_Greedy: 0.078597 s | Pazienza: 2
Iter: 8 | Taglio Greedy: 49823 | T_Greedy: 0.086348 s | Pazienza: 1
Iter: 9 | Taglio Greedy: 49765 | T_Greedy: 0.118952 s | Pazienza: 0
Iter: 10 | Taglio Greedy: 49744 | T_Greedy: 0.123716 s | Pazienza: -1
Iter: 11 | Taglio Greedy: 49791 | T_Greedy: 0.123704 s | Pazienza: -2
Iter: 12 | Taglio Greedy: 49789 | T_Greedy: 0.1424 s | Pazienza: -3
Iter: 13 | Taglio Greedy: 49896 | T_Greedy: 0.166581 s | Pazienza: -4
Iter: 14 | Taglio Greedy: 49745 | T_Greedy: 0.171275 s | Pazienza: -5
Iter: 15 | Taglio Greedy: 49763 | T_Greedy: 0.198484 s | Pazienza: -6
Iter: 16 | Taglio Greedy: 49798 | T_Greedy: 0.20698 s | Pazienza: -7
Iter: 17 | Taglio Greedy: 49821 | T_Greedy: 0.206514 s | Pazienza: -8
Iter: 18 | Taglio Greedy: 49780 | T_Greedy: 0.20742 s | Pazienza: -9
Iter: 19 | Taglio Greedy: 49907 | T_Greedy: 0.218887 s | Pazienza: -10
Iter: 20 | Taglio Greedy: 49778 | T_Greedy: 0.237055 s | Pazienza: 5
Iter: 21 | Taglio Greedy: 49808 | T_Greedy: 0.251552 s | Pazienza: 4
Iter: 22 | Taglio Greedy: 49889 | T_Greedy: 0.259377 s | Pazienza: 3
Iter: 23 | Taglio Greedy: 49802 | T_Greedy: 0.255948 s | Pazienza: 2
Iter: 24 | Taglio Greedy: 49868 | T_Greedy: 0.281804 s | Pazienza: 1
Iter: 25 | Taglio Greedy: 49813 | T_Greedy: 0.298048 s | Pazienza: 0
Iter: 26 | Taglio Greedy: 49884 | T_Greedy: 0.305754 s | Pazienza: -1
Iter: 27 | Taglio Greedy: 49824 | T_Greedy: 0.322452 s | Pazienza: -2
Iter: 28 | Taglio Greedy: 49890 | T_Greedy: 0.316676 s | Pazienza: -3
Iter: 29 | Taglio Greedy: 49816 | T_Greedy: 0.342252 s | Pazienza: -4
Iter: 30 | Taglio Greedy: 49817 | T_Greedy: 0.366147 s | Pazienza: -5
Iter: 31 | Taglio Greedy: 49812 | T_Greedy: 0.373391 s | Pazienza: -6
Iter: 32 | Taglio Greedy: 49827 | T_Greedy: 0.36068 s | Pazienza: -7
Iter: 33 | Taglio Greedy: 49841 | T_Greedy: 0.396183 s | Pazienza: -8
Iter: 34 | Taglio Greedy: 49805 | T_Greedy: 0.418325 s | Pazienza: -9
Iter: 35 | Taglio Greedy: 49854 | T_Greedy: 0.466861 s | Pazienza: -10
Iter: 36 | Taglio Greedy: 49843 | T_Greedy: 0.465388 s | Pazienza: -11
Iter: 37 | Taglio Greedy: 49849 | T_Greedy: 0.498537 s | Pazienza: -12
Iter: 38 | Taglio Greedy: 49849 | T_Greedy: 0.446953 s | Pazienza: -13
Iter: 39 | Taglio Greedy: 49895 | T_Greedy: 0.465674 s | Pazienza: -14
Iter: 40 | Taglio Greedy: 49842 | T_Greedy: 0.517376 s | Pazienza: -15
Iter: 41 | Taglio Greedy: 49843 | T_Greedy: 0.555112 s | Pazienza: -16
Iter: 42 | Taglio Greedy: 49857 | T_Greedy: 0.498842 s | Pazienza: -17
Iter: 43 | Taglio Greedy: 49850 | T_Greedy: 0.510769 s | Pazienza: -18
Iter: 44 | Taglio Greedy: 49882 | T_Greedy: 0.518695 s | Pazienza: -19
Iter: 45 | Taglio Greedy: 49893 | T_Greedy: 0.513561 s | Pazienza: -20
Iter: 46 | Taglio Greedy: 49796 | T_Greedy: 0.562973 s | Pazienza: -21
Iter: 47 | Taglio Greedy: 49854 | T_Greedy: 0.708959 s | Pazienza: -22
Iter: 48 | Taglio Greedy: 49854 | T_Greedy: 0.703803 s | Pazienza: -23
Iter: 49 | Taglio Greedy: 49846 | T_Greedy: 0.613596 s | Pazienza: -24

Esperimento concluso! Dati salvati in: results/facebook.csv
