Iterazioni,Algoritmo,Taglio,CPU_Time
1,Random,1493974,0.049322
1,Greedy,2332555,1.21126
2,Random,1495011,0.100099
2,Greedy,2336477,2.26765
3,Random,1493857,0.129136
3,Greedy,2340626,3.39619
4,Random,1494808,0.172375
4,Greedy,2323090,6.36899
5,Random,1494738,0.240102
5,Greedy,2361232,6.44239
6,Random,1495947,0.297519
6,Greedy,2330083,7.29988
7,Random,1495232,0.319507
7,Greedy,2343187,7.6601
8,Random,1495352,0.359446
8,Greedy,2346567,8.69847
9,Random,1496007,0.517593
9,Greedy,2343635,9.83941
10,Random,1495374,0.437679
10,Greedy,2356787,11.4876
11,Random,1496188,0.474977
11,Greedy,2352366,12.4516
12,Random,1494749,0.518102
12,Greedy,2356183,14.5673
13,Random,1494781,0.609537
13,Greedy,2356590,15.2252
14,Random,1495267,0.621532
14,Greedy,2359208,16.4043
15,Random,1496001,0.697037
15,Greedy,2378636,17.154
16,Random,1495719,0.718709
16,Greedy,2336736,22.6325
17,Random,1496585,0.803773
17,Greedy,2369763,20.5647
18,Random,1495615,0.822077
18,Greedy,2376543,21.7084
19,Random,1495151,0.859163
19,Greedy,2345306,25.673
20,Random,1494875,1.00462
20,Greedy,2369434,22.3917
21,Random,1494852,0.941988
21,Greedy,2366280,23.8007
22,Random,1496257,1.23268
22,Greedy,2359924,27.621
23,Random,1494698,1.02513
23,Greedy,2340700,31.0971
24,Random,1495266,1.09929
24,Greedy,2339127,28.2875
25,Random,1495756,1.11776
25,Greedy,2370254,30.5617
26,Random,1495778,1.18731
26,Greedy,2370096,30.7844
27,Random,1495168,1.26113
27,Greedy,2339788,33.9847
28,Random,1495214,1.31854
28,Greedy,2362759,30.4648
29,Random,1495189,1.35993
29,Greedy,2348911,32.2383
30,Random,1495509,1.44813
30,Greedy,2361956,34.4427
31,Random,1495242,1.5023
31,Greedy,2381253,37.7331
32,Random,1495000,1.53509
32,Greedy,2344852,40.7582
33,Random,1495230,1.74232
33,Greedy,2354611,38.4237
34,Random,1495950,1.5476
34,Greedy,2369187,37.896
35,Random,1495893,1.53067
35,Greedy,2359284,42.9245
36,Random,1495665,1.71789
36,Greedy,2367089,39.5495
37,Random,1496025,1.62085
37,Greedy,2341539,47.5873
38,Random,1496337,1.70337
38,Greedy,2358949,41.8167
39,Random,1495636,1.79521
39,Greedy,2374220,49.3427
40,Random,1495479,1.86183
40,Greedy,2377048,49.9302
41,Random,1496120,1.84987
41,Greedy,2374507,47.7648
42,Random,1495780,1.86698
42,Greedy,2349702,51.3235
43,Random,1496184,2.21413
43,Greedy,2351803,58.261
44,Random,1496086,2.40478
44,Greedy,2367854,55.6584
45,Random,1495780,2.02258
45,Greedy,2361975,54.4261
46,Random,1496015,2.02527
46,Greedy,2348515,58.3092
47,Random,1495529,2.05089
47,Greedy,2369212,53.3093
48,Random,1495206,2.17516
48,Greedy,2360932,60.8382
49,Random,1496228,2.3734
49,Greedy,2358997,56.7494
